Rec ID,Received Date,Location,Title,Subtitle,Edition,Year,Type,Author,Volume No(s),Sub Beg Date,Sub End Date,Vendor ID,Publisher,ISBN or MAT No,Record Comments,Qty, Price Ea , Disc Ea , S/H Ea , Total Per Book , Original Cost(Balances at 3/31) ,Delete Date,Delete Code,Qty Deleted,Vols Deleted,Last Physical Inventory Date,Return to Inventory Date,Transfer To/From Agency,Transfer Date,Delete Comments,Voucher No.,Voucher Date, Voucher Amount ,Fiscal Year,Invoice #,Invoice Date,Appropriation Code,Sub Suba,DOC,Obligation No.,PC,Voucher Comments
,7/7/1986,2nd District,NE,,,,,,490,,,1011,West,,ADM SENT TO BELLEVILLE; SCU TO SURPLUS,1, $39.00 , $-   , $1.75 , $40.75 , $40.75 ,,,,,,,,,,0,8/19/1986,,1987,,,,,1560,,Y,
,7/7/1986,2nd District,NE,,,,,,491,,,1011,West,,ADM SENT TO BELLEVILLE; SCU TO SURPLUS,1, $39.00 , $-   , $1.75 , $40.75 , $40.75 ,,,,,,,,,,0,8/19/1986,,1987,,,,,1560,,Y,
,7/7/1986,5th District,NE,,,,,,490,,,1011,West,,,1, $39.00 ,, $1.75 , $40.75 , $40.75 ,,,,,,,,,,0,8/19/1986,,1987,,,,,1560,,Y,
,7/7/1986,5th District,NE,,,,,,491,,,1011,West,,,1, $39.00 ,, $1.75 , $40.75 , $40.75 ,,,,,,,,,,0,8/19/1986,,1987,,,,,1560,,Y,
,8/8/1986,2nd District,US SUPREME COURT REPORTS 2D,,,,,,080,,,1790,Lawyers Co-Op,,,1, $27.00 ,, $2.65 , $29.65 , $29.65 ,,,,,,,,,,0,8/19/1986,,1987,,,,,1560,,Y,
,8/8/1986,3rd District,US SUPREME COURT REPORTS 2D,,,,,,080,,,1790,Lawyers Co-Op,,,1, $27.00 ,, $2.65 , $29.65 , $29.65 ,,,,,,,,,,0,8/19/1986,,1987,,,,,1560,,Y,
,8/8/1986,5th District,US SUPREME COURT REPORTS 2D,,,,,,080,,,1790,Lawyers Co-Op,,,1, $27.00 ,, $2.65 , $29.65 , $29.65 ,,,,,,,,,,0,8/19/1986,,1987,,,,,1560,,Y,
,8/8/1986,1st District,US SUPREME COURT REPORTS 2D,,,,,,080,,,1790,Lawyers Co-Op,,"ADM, SPI & SCU SENT TO SURPLUS 05/05",1, $27.00 , $-   , $2.65 , $29.65 , $29.65 ,,,,,,,,,,0,8/19/1986,,1987,,,,,1560,,Y,
,9/9/1986,1st District,CONSTITUTIONAL RIGHTS OF THE ACCUSED ,,2d,,,,01-02,,,1790,Lawyers Co-Op,,OTTAWA SENT TO SURPLUS 06/02,1, $113.00 , $-   , $3.50 , $116.50 , $116.50 ,,,,,,,,,,0,9/26/1986,,1987,,,,,1560,,Y,
,9/9/1986,2nd District,NE,,,,,,492,,,1011,West,,ADM SENT TO BELLEVILLE; SCU TO SURPLUS,1, $39.00 , $-   , $1.75 , $40.75 , $40.75 ,,,,,,,,,,0,9/15/1986,,1987,,,,,1560,,Y,
,9/9/1986,5th District,NE,,,,,,492,,,1011,West,,,1, $39.00 ,, $1.75 , $40.75 , $40.75 ,,,,,,,,,,0,9/15/1986,,1987,,,,,1560,,Y,
,9/9/1986,1st District,FED PRACTICE DIGEST,,3d,,PP,,53 - 54,,,1011,West,,,1, $70.00 , $-   , $-   , $70.00 , $70.00 ,,,,,,,,,,0,9/17/1986,,1987,,,,,1560,,Y,
,9/9/1986,1st District,S-H STAT,,,,,,Ch 48-55,,,1011,West,,Employement - Fire Escapes,1, $91.50 , $7.50 , $2.25 , $86.25 , $86.25 ,,,,,,,,,,0,9/26/1986,,1987,,,,,1560,,Y,
,10/10/1986,Administrative,CONSTITUTIONAL CRIMINAL PROCEDURE HANDBOOK,,,,,Shelvin Singer & Marshall Hartman,,,,1786,John Wiley,0-471-88986-5,,2, $80.00 , $-   , $4.32 , $84.32 , $168.64 ,,,,,,,,,,0,10/14/1986,,1987,,,,,1560,,Y,
,10/10/1986,2nd District,NE,,,,,,493,,,1011,West,,ADM SENT TO BELLEVILLE; SCU TO SURPLUS,1, $39.00 , $-   , $1.75 , $40.75 , $40.75 ,,,,,,,,,,0,10/15/1986,,1987,,,,,1560,,Y,
,10/10/1986,5th District,NE,,,,,,493,,,1011,West,,,1, $39.00 ,, $1.75 , $40.75 , $40.75 ,,,,,,,,,,0,10/15/1986,,1987,,,,,1560,,Y,
,11/11/1986,2nd District,US SUPREME COURT REPORTS 2D,,,,,,081,,,1790,Lawyers Co-Op,,,1, $28.00 ,, $2.65 , $30.65 , $30.65 ,,,,,,,,,,0,11/19/1986,,1987,,,,,1560,,Y,
,11/11/1986,3rd District,US SUPREME COURT REPORTS 2D,,,,,,081,,,1790,Lawyers Co-Op,,,1, $28.00 ,, $2.65 , $30.65 , $30.65 ,,,,,,,,,,0,11/19/1986,,1987,,,,,1560,,Y,
,11/11/1986,5th District,US SUPREME COURT REPORTS 2D,,,,,,081,,,1790,Lawyers Co-Op,,,1, $28.00 ,, $2.65 , $30.65 , $30.65 ,,,,,,,,,,0,11/19/1986,,1987,,,,,1560,,Y,
,11/11/1986,1st District,US SUPREME COURT REPORTS 2D,,,,,,081,,,1790,Lawyers Co-Op,,"ADM, SPI & SCU SENT TO SURPLUS 05/05",1, $28.00 , $-   , $2.65 , $30.65 , $30.65 ,,,,,,,,,,0,11/19/1986,,1987,,,,,1560,,Y,
,11/11/1986,2nd District,NE,,,,,,494,,,1011,West,,ADM SENT TO BELLEVILLE; SCU TO SURPLUS,1, $39.00 , $-   , $1.75 , $40.75 , $40.75 ,,,,,,,,,,0,11/19/1986,,1987,,,,,1560,,Y,
,11/11/1986,5th District,NE,,,,,,494,,,1011,West,,,1, $39.00 ,, $1.75 , $40.75 , $40.75 ,,,,,,,,,,0,11/19/1986,,1987,,,,,1560,,Y,
,12/12/1986,2nd District,CONSTITUTIONAL CRIMINAL PROCEDURE HANDBOOK,,,,,Singer & Hartman,,,,1786,John Wiley,0-471-88986-5,SPI SENT TO SURPLUS 05/05; OTTAWA SURPLUSED 06/02,1, $80.00 , $-   , $4.32 , $84.32 , $84.32 ,,,,,,,,,,0,12/5/1986,,1987,,,,,1560,,Y,
,12/12/1986,2nd District,NE,,,,,,495,,,1011,West,,ADM SENT TO BELLEVILLE; SCU TO SURPLUS,1, $39.00 , $-   , $1.75 , $40.75 , $40.75 ,,,,,,,,,,0,12/5/1986,,1987,,,,,1560,,Y,
,12/12/1986,5th District,NE,,,,,,485,,,1011,West,,,1, $39.00 ,, $1.75 , $40.75 , $40.75 ,,,,,,,,,,0,12/5/1986,,1987,,,,,1560,,Y,
,12/12/1986,2nd District,NE,,,,,,496,,,1011,West,,ADM SENT TO BELLEVILLE; SCU TO SURPLUS,1, $39.00 , $-   , $1.75 , $40.75 , $40.75 ,,,,,,,,,,0,12/29/1986,,1987,,,,,1560,,Y,
,12/12/1986,5th District,NE,,,,,,496,,,1011,West,,,1, $39.00 ,, $1.75 , $40.75 , $40.75 ,,,,,,,,,,0,12/29/1986,,1987,,,,,1560,,Y,
,12/12/1986,1st District,S-H STAT,,,,,,Ch 43-45,,,1011,West,,Dram Shops,1, $30.50 , $2.50 , $1.00 , $29.00 , $29.00 ,,,,,,,,,,0,12/29/1986,,1987,,,,,1560,,Y,
,1/1/1987,5th District,GOLDSTEIN TRIAL TECHNIQUE 3D,,,,,,Rev Vol 3 - Binder,,,1774,Callaghan,978-0318650029,,1, $85.00 ,, $5.10 , $90.10 , $90.10 ,,,,,,,,,,0,1/13/1987,,1987,,,,,1560,,Y,
,1/1/1987,1st District,GOLDSTEIN TRIAL TECHNIQUE 3D,,,,,,Rev Vol 3,,,1774,Callaghan,978-0318650029,,1, $85.00 ,, $5.10 , $90.10 , $90.10 ,,,,,,,,,,0,1/13/1987,,1987,,,,,1560,,Y,
,1/1/1987,4th District,ABA STANDARDS FOR CRIMINAL JUSTICE,,Chapter 7,,Binder,,,,,1792,"Little, Brown & Company",,,1, $50.00 , $-   , $1.95 , $51.95 , $51.95 ,,,,,,,,,,0,1/13/1987,,1987,,,,,1560,,Y,
,1/1/1987,1st District,S-H STAT,,,,,,Ch 74-95,,,1011,West,,Interest-Mortages,1, $94.50 , $7.50 , $2.25 , $89.25 , $89.25 ,,,,,,,,,,0,1/29/1987,,1987,,,,,1560,,Y,
,2/2/1987,2nd District,US SUPREME COURT REPORTS 2D,,,,,,082,,,1790,Lawyers Co-Op,,,1, $30.65 ,,, $30.65 , $30.65 ,,,,,,,,,,0,2/18/1987,,1987,,,,,1560,,Y,
,2/2/1987,3rd District,US SUPREME COURT REPORTS 2D,,,,,,082,,,1790,Lawyers Co-Op,,,1, $30.65 ,,, $30.65 , $30.65 ,,,,,,,,,,0,2/18/1987,,1987,,,,,1560,,Y,
,2/2/1987,5th District,US SUPREME COURT REPORTS 2D,,,,,,082,,,1790,Lawyers Co-Op,,,1, $30.65 ,,, $30.65 , $30.65 ,,,,,,,,,,0,2/18/1987,,1987,,,,,1560,,Y,
,2/2/1987,1st District,US SUPREME COURT REPORTS 2D,,,,,,082,,,1790,Lawyers Co-Op,,"ADM, SPI & SCU SENT TO SURPLUS 05/05",1, $30.65 , $-   , $-   , $30.65 , $30.65 ,,,,,,,,,,0,2/18/1987,,1987,,,,,1560,,Y,
,2/2/1987,2nd District,US SUPREME COURT REPORTS 2D,,,,,,083,,,1790,Lawyers Co-Op,,,1, $30.00 ,, $2.75 , $32.75 , $32.75 ,,,,,,,,,,0,3/25/1987,,1987,,,,,1560,,Y,
,2/2/1987,3rd District,US SUPREME COURT REPORTS 2D,,,,,,083,,,1790,Lawyers Co-Op,,,1, $30.00 ,, $2.75 , $32.75 , $32.75 ,,,,,,,,,,0,3/25/1987,,1987,,,,,1560,,Y,
,2/2/1987,5th District,US SUPREME COURT REPORTS 2D,,,,,,083,,,1790,Lawyers Co-Op,,,1, $30.00 ,, $2.75 , $32.75 , $32.75 ,,,,,,,,,,0,3/25/1987,,1987,,,,,1560,,Y,
